fpl_id,fpl_name,xg_per90,xa_per90,match_score
254,Walter Benítez,0.0,0.0,0.0
255,Remi Matthews,0.0,0.0,0.0
256,Daniel Muñoz Mejía,0.16102482903959356,0.16522130600079216,90.0
257,Maxence Lacroix,0.07924664425064815,0.04860307506487603,100.0
258,Tyrick Mitchell,0.04083007685923416,0.2043665449320318,100.0
259,Borna Sosa,0.0,0.0,0.0
260,Marc Guéhi,0.08708369392244254,0.06279147295829128,90.0
261,Chris Richards,0.0792766403842282,0.005343009734695608,100.0
262,Chadi Riad Dnanou,0.0,0.0,0.0
263,Nathaniel Clyne,0.004361957508307066,0.030070071727592754,100.0
264,Rob Holding,0.0,0.0,0.0
265,Caleb Kporha,0.0,0.0,0.0
267,Ismaïla Sarr,0.404591066307008,0.3305658951899686,91.66666666666666
268,Cheick Doucouré,0.0,0.0,0.0
269,Romain Esse,0.0,0.0,0.0
270,Will Hughes,0.0384387542338421,0.14016988097379604,100.0
271,Daichi Kamada,0.05757635140934254,0.10798021474000515,100.0
272,Jefferson Lerma Solís,0.0355648248896278,0.054944933387192856,95.0
273,Adam Wharton,0.022601660406502574,0.22567121310629057,100.0
274,Asher Agbinone,0.0,0.0,0.0
275,Naouirou Ahamada,0.0,0.0,0.0
276,Justin Devenny,0.21874925034846796,0.120793703146342,100.0
277,Malcolm Ebiowei,0.0,0.0,0.0
278,Jesurun Rak-Sakyi,0.0,0.0,0.0
279,Matheus França de Oliveira,0.0,0.0,0.0
280,David Ozoh,0.0,0.0,0.0
281,Kaden Rodney,0.0,0.0,0.0
282,Franco Umeh-Chibueze,0.0,0.0,0.0
283,Jean-Philippe Mateta,0.5297160548777717,0.12890359199152338,100.0
284,Eddie Nketiah,0.65427083476651,0.12675286997563956,100.0
285,Odsonne Édouard,0.0,0.0,0.0
286,Zach Marsh,0.0,0.0,0.0
690,Rio Cardines,0.0,0.0,0.0
712,Yéremy Pino Santos,0.0,0.0,0.0
723,Jaydee Canvot,0.0,0.0,0.0
732,Christantus Uche,0.0,0.0,0.0
242,Kiernan Dewsbury-Hall,0.034398267475458294,0.3098725785429661,100.0
287,Jordan Pickford,0.0,0.007372137649278892,100.0
288,Mark Travers,0.0,0.0,100.0
289,Harry Tyrer,0.0,0.0,0.0
290,Jarrad Branthwaite,0.049531817870340736,0.023408047417067437,100.0
291,James Tarkowski,0.03894489091901861,0.08604228240326403,100.0
292,Vitalii Mykolenko,0.017548752624112842,0.08831471778343716,100.0
293,Jake O'Brien,0.0,0.0,0.0
294,Séamus Coleman,0.20079711793174207,0.0,92.85714285714286
295,Michael Keane,0.09721134906261446,0.010668370633431614,100.0
296,Nathan Patterson,0.019274703395294853,0.11399719146001769,100.0
297,Roman Dixon,0.0,0.0,0.0
298,Reece Welch,0.0,0.0,0.0
299,Iliman Ndiaye,0.25768295255180707,0.06932352166667977,100.0
300,Dwight McNeil,0.09905644175982892,0.3956093138396968,100.0
301,Carlos Alcaraz Durán,0.1984304903572299,0.2735478108919474,95.0
302,Idrissa Gana Gueye,0.030314194535818493,0.07037495445568584,95.0
303,James Garner,0.033696746419945585,0.06822283081106112,100.0
304,Tim Iroegbunam,0.03521051516452381,0.02961210207576823,100.0
305,Harrison Armstrong,0.0,0.0,0.0
306,Callum Bates,0.0,0.0,0.0
307,Coby Ebere,0.0,0.0,0.0
308,Isaac Heath,0.0,0.0,0.0
309,Jenson Metcalfe,0.0,0.0,0.0
310,Thierno Barry,0.0,0.0,0.0
311,Norberto Bercique Gomes Betuncal,0.0,0.0,0.0
312,Youssef Ramalho Chermiti,0.0,0.0,0.0
313,Martin Sherif,0.0,0.0,0.0
419,Jack Grealish,0.16604321985809653,0.25021670644370236,100.0
630,Tom King,0.0,0.0,0.0
667,Adam Aznou,0.0,0.0,0.0
704,Tyler Onyango,0.0,0.0,0.0
705,Elijah Campbell,0.0,0.0,0.0
707,Tyler Dibling,0.14960175323029679,0.09579127867736162,100.0
728,Merlin Röhl,0.0,0.0,0.0
314,Bernd Leno,0.0,0.008393250405788422,100.0
315,Steven Benda,0.0,0.0,0.0
316,Antonee Robinson,0.029958970762379775,0.12520552179243696,100.0
